day_of_year,sea_temperature
1,29.368571417672293
8,29.030000141688756
15,28.77571405683245
22,28.50571414402553
29,29.684285845075333
36,28.688571657453263
43,28.645714351109095
50,29.604285648890905
57,28.941428593226842
64,29.55714280264718
71,29.744285311017716
78,29.707142693655832
85,30.237143107822963
92,30.131428582327707
99,30.501428604125977
106,30.31571442740304
113,30.867143086024694
120,30.605714525495255
127,30.798571177891322
134,30.465714318411692
141,30.6728572845459
148,30.10714312962123
155,30.308571406773158
162,30.985713958740234
169,31.37999943324498
176,30.810000010899135
183,29.52857153756278
190,29.347143173217773
197,29.768571308680944
204,30.00857135227748
211,29.96714265005929
218,29.892857142857142
225,30.01285716465541
232,30.180000032697404
239,29.584286008562362
246,29.68142863682338
253,29.072856903076172
260,29.582857404436385
267,29.084285736083984
274,29.64142826625279
281,28.580000196184432
288,29.11571475437709
295,29.398571286882675
302,29.444285529000418
309,29.33714267185756
316,30.067142759050643
323,30.142857142857142
330,29.60571425301688
337,29.93571444920131
344,29.992856979370117
351,29.354285648890905
358,29.141428811209543
365,29.10285758972168
7,29.622857230050222
14,29.760000228881836
21,29.10857173374721
28,28.822856903076172
35,29.61428587777274
42,29.312856674194336
49,29.17142813546317
56,29.290000098092214
63,29.498571395874023
70,29.531428745814733
77,30.319999967302596
84,29.972857339041575
91,30.064285823277064
98,29.881428582327707
105,29.457142693655832
112,30.072857448032924
119,30.732857295445033
126,29.76571410042899
133,29.669999803815568
140,30.95857129778181
147,30.48714283534459
154,30.071428843906947
161,29.36857169015067
168,29.631428582327707
175,30.21285711015974
182,30.284285409109934
189,29.864286150251115
196,30.062856946672714
203,30.167142868041992
210,29.157142911638534
217,29.135714394705637
224,29.345714569091797
231,29.751428604125977
238,30.551429203578405
245,29.45571436200823
252,29.952856881277903
259,29.90285737173898
266,29.30857195172991
273,30.47571427481515
280,30.71714292253767
287,29.88999993460519
294,29.54142870221819
301,29.7985714503697
308,29.75571414402553
315,29.381428582327707
322,29.845714024135045
329,29.27285657610212
336,28.425714220319474
343,28.021428516932897
350,28.195714133126394
357,29.02999986921038
364,29.342857088361466
6,28.57714298793248
13,28.281428745814733
20,29.025714329310826
27,27.52428572518485
34,27.189999989100865
41,27.907142911638534
48,27.97285761151995
55,28.78000041416713
62,27.904285158429825
69,30.165714263916016
76,29.297142846243723
83,29.104285648890905
90,28.44571440560477
97,29.119999749319895
104,29.152857099260604
111,29.722857339041575
118,30.215714045933314
125,29.852857044764928
132,30.06857190813337
139,30.915714263916016
146,29.587142944335938
153,30.042857578822545
160,30.4542852129255
167,30.24142864772252
174,30.29142870221819
181,29.69285719735282
188,29.657142911638534
195,29.972857066563197
202,29.417142595563615
209,29.995714460100448
216,30.202857153756277
223,30.122857230050222
230,29.500000272478378
237,29.695714133126394
244,29.85285677228655
251,29.25571414402553
258,28.965714045933314
265,29.658572060721262
272,30.114285605294363
279,29.167142868041992
286,29.50428581237793
293,29.03714288984026
300,28.95857184273856
307,27.848571232387
314,29.44714300973075
321,29.721428734915598
328,28.924285616193497
335,29.151428495134628
342,29.170000076293945
349,28.7485716683524
356,28.864285605294363
363,29.6728572845459
4,29.617142813546316
11,29.182857240949357
18,29.111428669520787
25,28.31142861502511
32,27.48428589957101
39,28.078571319580078
46,28.548571722848074
53,29.050000054495676
60,28.492856979370117
67,29.560000010899135
74,29.58714267185756
81,29.74571418762207
88,29.665714263916016
95,29.65571403503418
102,30.137142998831614
109,30.257143020629883
116,30.174285616193497
123,29.575714383806503
130,29.662857055664063
137,29.54142870221819
144,29.842856815883092
151,30.175714220319474
158,30.43000030517578
165,30.07000023978097
172,30.678571156093053
179,30.362857001168386
186,29.665714263916016
193,30.260000228881836
200,30.031429018293107
207,29.851428713117325
214,29.385714394705637
221,29.567142759050643
228,30.075714656284877
235,29.822856630597794
242,29.26285716465541
249,29.868571417672293
256,29.7999997820173
263,29.209999901907786
270,28.738571439470565
277,29.131428582327707
284,29.157142911638534
291,28.697142464773997
298,28.674285616193497
305,28.459999901907786
312,29.182857240949357
319,28.380000250680105
326,28.23000008719308
333,28.205714089529856
340,28.828571319580078
347,28.851428713117325
354,28.687143053327286
361,28.451428822108678
3,28.427143096923828
10,28.069999967302596
17,28.421428680419922
24,28.301428386143275
31,27.738571166992188
38,28.52571405683245
45,28.31857136317662
52,28.26999991280692
59,28.395714351109095
66,28.784285409109934
73,28.75428581237793
80,29.010000228881836
87,29.077142442975724
94,28.787142617361887
101,29.055714743477957
108,29.224285670689174
115,29.968571254185267
122,29.2000002179827
129,29.35571425301688
136,30.305714470999582
143,29.29142870221819
150,29.277143205915177
157,28.734286172049387
164,29.9514285496303
171,29.93857138497489
178,29.939999989100865
185,29.65428570338658
192,30.16714314052037
199,30.078571319580078
206,29.572856903076172
213,29.110000337873185
220,30.54142870221819
227,29.51571410042899
234,28.821428298950195
241,28.877143042428152
248,29.080000196184432
255,29.56428555079869
262,29.18571444920131
269,28.81571442740304
276,29.084285463605607
283,28.472857066563197
290,28.80571392604283
297,28.505714416503906
304,29.08142880031041
311,28.89285741533552
318,28.818571635654994
325,28.660000119890487
332,28.54571451459612
339,29.517142704554967
346,29.06142861502511
353,29.30714280264718
360,29.382857458932058
2,28.900000163487025
9,28.401428495134628
16,28.52857153756278
23,27.852857317243302
30,29.169999803815568
37,28.58285685947963
44,28.515714372907365
51,28.631428582327707
58,28.87142835344587
65,29.274285452706472
72,29.571428571428573
79,29.362857546125138
